ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT14,2024-09-30,70,3.943661971830986,0.5555555555555555,3.3881064162754306
LT14,2024-09-30,80,3.554054054054054,0.6470588235294117,2.9069952305246423
LT14,2024-09-30,90,3.121621621621622,0.6575342465753424,2.4640873750462795
LT11,2024-09-30,10,10.01470588235294,0.6756756756756757,9.339030206677265
LT11,2024-09-30,20,7.1692307692307695,0.5853658536585366,6.583864915572233
LT11,2024-09-30,30,5.384615384615384,0.68,4.704615384615384
LT11,2024-09-30,40,4.376811594202899,0.7843137254901961,3.5924978687127034
LT11,2024-09-30,50,4.057142857142857,0.7758620689655173,3.2812807881773396
LT11,2024-09-30,60,3.6,0.8360655737704918,2.7639344262295085
LT11,2024-09-30,70,3.3116883116883113,0.8615384615384616,2.4501498501498498
LT11,2024-09-30,80,3.102564102564102,0.8923076923076922,2.21025641025641
LT11,2024-09-30,90,2.7468354430379747,0.8208955223880597,1.925939920649915
LT23,2024-09-30,10,5.153846153846154,0.7999999999999999,4.353846153846154
LT23,2024-09-30,20,4.75,0.7419354838709677,4.008064516129032
LT23,2024-09-30,30,4.39344262295082,0.5853658536585366,3.8080767692922834
LT23,2024-09-30,40,4.109375,0.5625000000000001,3.546875
LT23,2024-09-30,50,3.830769230769231,0.5283018867924528,3.302467343976778
LT23,2024-09-30,60,3.5303030303030303,0.5263157894736842,3.003987240829346
LT23,2024-09-30,70,3.1884057971014497,0.6071428571428571,2.5812629399585925
LT23,2024-09-30,80,2.875,0.6440677966101696,2.2309322033898304
LT23,2024-09-30,90,2.5,0.6290322580645161,1.870967741935484
LT22,2024-09-30,10,6.720588235294118,5.024390243902439,1.6961979913916787
LT22,2024-09-30,20,5.508196721311475,4.605263157894737,0.9029335634167381
LT22,2024-09-30,30,4.576271186440678,3.75,0.8262711864406782
LT22,2024-09-30,40,3.7536231884057973,3.325,0.42862318840579716
LT22,2024-09-30,50,3.3333333333333335,2.697674418604651,0.6356589147286824
LT22,2024-09-30,60,3.2777777777777777,2.2666666666666666,1.011111111111111
LT22,2024-09-30,70,3.0945945945945947,1.7884615384615385,1.3061330561330562
LT22,2024-09-30,80,3.041095890410959,1.5357142857142856,1.5053816046966735
LT22,2024-09-30,90,2.644736842105263,1.3166666666666669,1.328070175438596
LT21,2024-09-30,10,7.527777777777778,3.5000000000000004,4.027777777777777
LT21,2024-09-30,20,5.257575757575758,3.096774193548387,2.160801564027371
LT21,2024-09-30,30,4.314285714285715,2.428571428571429,1.8857142857142861
LT21,2024-09-30,40,3.9577464788732395,1.8571428571428572,2.1006036217303823
LT21,2024-09-30,50,3.9014084507042255,1.711111111111111,2.1902973395931147
LT21,2024-09-30,60,3.52,1.52,2
LT21,2024-09-30,70,3.3783783783783785,1.490566037735849,1.8878123406425296
LT21,2024-09-30,80,3.118421052631579,1.3620689655172415,1.7563520871143377
LT21,2024-09-30,90,2.8157894736842106,1.1935483870967742,1.6222410865874364
LT24,2024-09-30,10,6.163265306122449,0.65,5.513265306122449
LT24,2024-09-30,20,6,0.6666666666666666,5.333333333333333
LT24,2024-09-30,30,5.472222222222222,0.627906976744186,4.844315245478036
LT24,2024-09-30,40,4.819444444444445,0.6,4.219444444444445
LT24,2024-09-30,50,4.753623188405797,0.7450980392156863,4.008525149190111
LT24,2024-09-30,60,4.246376811594203,0.7962962962962963,3.450080515297907
LT24,2024-09-30,70,3.8309859154929584,0.7586206896551725,3.072365225837786
LT24,2024-09-30,80,3.4246575342465753,0.7704918032786885,2.654165730967887
LT24,2024-09-30,90,2.986301369863014,0.7460317460317459,2.240269623831268
LT33,2024-09-30,10,7.249999999999998,0.5652173913043478,6.6847826086956506
LT33,2024-09-30,20,5.421875,0.4571428571428572,4.964732142857143
LT33,2024-09-30,30,4.211267605633803,0.5333333333333333,3.6779342723004698
LT33,2024-09-30,40,3.657894736842105,0.6875000000000001,2.970394736842105
LT33,2024-09-30,50,3.447368421052632,0.6666666666666666,2.7807017543859653
LT33,2024-09-30,60,3.1688311688311686,0.6271186440677966,2.541712524763372
LT33,2024-09-30,70,2.9012345679012346,0.6949152542372882,2.2063193136639465
LT33,2024-09-30,80,2.734939759036145,0.7377049180327869,1.9972348410033578
LT33,2024-09-30,90,2.4404761904761902,0.7142857142857143,1.7261904761904758
LT32,2024-09-30,10,3,5.170731707317073,0
LT32,2024-09-30,20,4.415094339622641,5.5576923076923075,0
LT32,2024-09-30,30,3.5714285714285716,4.979166666666667,0
LT32,2024-09-30,40,3.2388059701492535,4.081632653061225,0
LT32,2024-09-30,50,3.1142857142857148,3.056603773584906,0.0576819407008089
LT32,2024-09-30,60,2.717948717948718,2.4727272727272727,0.2452214452214454
LT32,2024-09-30,70,2.5822784810126582,1.966101694915254,0.6161767860974041
LT32,2024-09-30,80,2.4749999999999996,1.59375,0.8812499999999996
LT32,2024-09-30,90,2.2624999999999997,1.338235294117647,0.9242647058823528
LT34,2024-09-30,10,9.373134328358208,1.3409090909090908,8.032225237449119
